Preview Type , Type de prévisualisation
Output Ascii File ,
Moviz 26 ,
Output Chroma NR ,
Mona Lisa ,
Output Each Piece on a Different Layer ,
Output Directory ,
Output Corresponding CLUT ,
Output Coordinates File ,
Outline Smoothness ,
Peppers ,
Outline Opacity ,
Outline Contrast ,
Negative Effect ,
Moire Removal ,
Moody-5 ,
Pencils ,
Nature & Wildlife-5 ,
Outlined ,
Outline Thickness ,
Moody-4 ,
Moviz 18 ,
Paw ,
Moody-2 ,
Pen Drawing ,
Penalize Patch Repetitions ,
Pattern Width ,
Nb Branches / Rays ,
Mondrian: Gray Tree ,
Output HTML File ,
Moviz 19 ,
Nature & Wildlife-9 ,
Moviz 17 ,
Nature & Wildlife-7 ,
Nature & Wildlife-6 ,
Moody-3 ,
Pencil Portrait ,
Nature & Wildlife-8 ,
Negative Color Abstraction ,
Moviz 25 ,
Pencil ,
Mondrian: Evening; Red Tree ,
Mondrian: Composition in Red-Yellow-Blue ,
PictureFX - Faux Infrared Color P2 ,
PictureFX - Faux Infrared Color P3 ,
Negative [Old] (44) ,
PictureFX - Faux Infrared R0a ,
PictureFX - Faux Infrared R0b ,
PictureFX - Faux Infrared B&W1 ,
Modern Films 06 ,
Picabia: Udnie ,
Picasso: Seated Woman ,
Picasso: The Reservoir - Horta De Ebro ,
PictureFX (25) ,
Neighborhood Smoothness ,
Modern Films 04 ,
Nemesis ,
Neon 770 ,
Moviz 16 ,
Neighborhood Size (%) ,
Name ,
PictureFX - Faux Infrared YP1 ,
Piece Complexity ,
Modern Films 05 ,
Piece Size (px) ,
Modern Films 07 ,
Moir&eacute; Animation ,
Perturbation ,
Petallian ,
Petals ,
Phase ,
Moviz 27 ,
Moody-6 ,
Periodic Dots ,
Periodicity ,
Nature & Wildlife-4 ,
Negative [Color] (13) ,
Moody-7 ,
Natural (vivid) ,
PhotoComix Preset ,
Photoillustration ,
Negative [New] (39) ,
Nature & Wildlife-1 ,
Nature & Wildlife-3 ,
Nature & Wildlife-2 ,
Phone ,
Modulo Value ,
Nature & Wildlife-10 ,
Monet: San Giorgio Maggiore at Dusk ,
Moody ,
Mono-Directional ,
Mono+Ye ,
Output Width ,
Moviz 20 ,
Padding (px) ,
PIXLS.US (31) ,
Pack ,
Pack Sprites ,
Pacman ,
Moviz 22 ,
Output Stroke Layer On ,
Output Sharpening ,
Mono+G ,
Output Saturation ,
Painting Order ,
Painting Opacity ,
Paint Effect ,
Mono+R ,
Paint Splat ,
Paint With Brush ,
Painting ,
PI-Based Scaling ,
Outside-In ,
Outward ,
Overall Blur ,
